timestamp, open, high, low, close, volume
1546300800000,3701.23,4069.8,3349.92,3434.1,908244.14054
1548979200000,3434.1,4198,3373.1,3813.69,861783.986727
1551398400000,3814.26,4140,3670.69,4103.95,787190.48925
1554076800000,4102.44,5600,4067,5320.81,1126961.315101
1556668800000,5321.94,9074.26,5316.2,8555,1498410.025617
1559347200000,8555,13970,7444.58,10854.1,1689489.647326
1561939200000,10854.1,13147.08,9060,10080.53,1886176.065915
1564617600000,10080.53,12330.7,9320,9587.47,1201961.576316
1567296000000,9588.74,10905.87,7710,8289.34,1116856.475836
1569888000000,8289.97,10370,7300,9140.85,1446763.024045
1572566400000,9140.86,9513.68,6515,7541.89,1499118.774995
1575158400000,7540.63,7750,6435,7195.23,1307033.020384
1577836800000,7195.24,9578,6871.04,9352.89,1691323.137782
1580515200000,9351.71,10500,8445,8523.61,1609726.154564
1583020800000,8523.61,9188,3782.13,6410.44,3789768.913125
1585699200000,6412.14,9460,6150.11,8620,2528373.691121
1588291200000,8620,10067,8117,9448.27,2685340.078508
1590969600000,9448.27,10380,8833,9138.55,1504745.517922
1593561600000,9138.08,11444,8893.03,11335.46,1507827.21494
1596240000000,11335.46,12468,10518.5,11649.51,1891193.007128
1598918400000,11649.51,12050.85,9825,10776.59,1730389.160179
1601510400000,10776.59,14100,10374,13791,1592634.419946
1604188800000,13791,19863.16,13195.05,19695.87,2707064.911165
1606780800000,19695.87,29300,17572.33,28923.63,2495281.856217
1609459200000,28923.63,41950,28130,33092.98,3440864.750019
1612137600000,33092.97,58352.8,32296.16,45135.66,2518242.148517
1614556800000,45134.11,61844,44950.53,58740.55,2098808.027432
1617235200000,58739.46,64854,46930,57694.27,1993468.938007
1619827200000,57697.25,59500,30000,37253.81,3536245.256573
1622505600000,37253.82,41330,28805,35045,2901775.305923
1625097600000,35045,42448,29278,41461.83,1778463.264837
1627776000000,41461.84,50500,37332.7,47100.89,1635402.874245
1630454400000,47100.89,52920,39600,43824.1,1527799.510768
1633046400000,43820.01,67000,43283.03,61299.8,1565556.292623
1635724800000,61299.81,69000,53256.64,56950.56,1291900.105248
1638316800000,56950.56,59053.55,42000.3,46216.93,1233745.524318
1640995200000,46216.93,47990,32917.17,38466.9,1279407.465721
1643673600000,38466.9,45821,34322.28,43160,1253514.21906
1646092800000,43160,48189.84,37155,45510.34,1501398.79591
1648771200000,45510.35,47444.11,37578.2,37630.8,1267655.68178
1651363200000,37630.8,40023.77,26700,31801.04,2387839.680804
1654041600000,31801.05,31982.97,17622,19942.21,2816058.473226
1656633600000,19942.21,24668,18781,23293.32,4983278.5881
1659312000000,23296.36,25211.32,19520,20050.02,5692462.41571
1661990400000,20048.44,22799,18125.98,19422.61,9838930.53657
1664582400000,19422.61,21085,18190,20490.74,7499121.81542
1667260800000,20490.74,21480.65,15476,17163.64,9127693.509065
1669852800000,17165.53,18387.95,16256.3,16542.4,5803833.88187
1672531200000,16541.77,23960.54,16499.01,23125.13,7977028.87801
1675209600000,23125.13,25250,21351.07,23141.57,8642691.27165
1677628800000,23141.57,29184.68,19549.09,28465.36,9516189.35846
1680307200000,28465.36,31000,26942.82,29233.21,1626745.5585
1682899200000,29233.2,29820,25811.46,27210.35,1302000.49221
1685577600000,27210.36,31431.94,24800,30472,1387207.48275
1688169600000,30471.99,31804.2,28861.9,29232.25,925773.81731
1690848000000,29232.26,30244,25166,25940.78,1025866.55023
1693526400000,25940.77,27483.57,24901,26962.56,809329.04893
1696118400000,26962.57,28580,26954.09,27509.7,190618.7559
1548979200000,3434.1,4198,3373.1,3813.69,861783.986727
1551398400000,3814.26,4140,3670.69,4103.95,787190.48925
1554076800000,4102.44,5600,4067,5320.81,1126961.315101
1556668800000,5321.94,9074.26,5316.2,8555,1498410.025617
1559347200000,8555,13970,7444.58,10854.1,1689489.647326
1561939200000,10854.1,13147.08,9060,10080.53,1886176.065915
1564617600000,10080.53,12330.7,9320,9587.47,1201961.576316
1567296000000,9588.74,10905.87,7710,8289.34,1116856.475836
1569888000000,8289.97,10370,7300,9140.85,1446763.024045
1572566400000,9140.86,9513.68,6515,7541.89,1499118.774995
1575158400000,7540.63,7750,6435,7195.23,1307033.020384
1577836800000,7195.24,9578,6871.04,9352.89,1691323.137782
1580515200000,9351.71,10500,8445,8523.61,1609726.154564
1583020800000,8523.61,9188,3782.13,6410.44,3789768.913125
